"game_id" "description" "image" "max_players" "max_playtime" "min_age" "min_players" "min_playtime" "name" "playing_time" "thumbnail" "year_published" "artist" "category" "compilation" "designer" "expansion" "family" "mechanic" "publisher" "average_rating" "users_rated"
"1" 1 "Die Macher is a game about seven sequential political races in different regions of Germany. Players are in charge of national political parties, and must manage limited resources to help their party to victory. The winning party will have the most victory points after all the regional elections. There are four different ways of scoring victory points. First, each regional election can supply one to eighty victory points, depending on the size of the region and how well your party does in it. Second, if a party wins a regional election and has some media influence in the region, then the party will receive some media-control victory points. Third, each party has a national party membership which will grow as the game progresses and this will supply a fair number of victory points. Lastly, parties score some victory points if their party platform matches the national opinions at the end of the game.&#10;&#10;The 1986 edition featured 4 parties from the old West Germany and supported 3-4 players. The 1997 edition supports up to 5 players in the re-united Germany and updated several features of the rules as well.  The 2006 edition also supports up to 5 players and adds a shorter 5 round variant and additional rules updates by the original designer.&#10;&#10;Die Macher is #1 in the Valley Games Classic Line&#10;&#10;" "//cf.geekdo-images.com/images/pic159509.jpg" 5 240 14 3 240 "Die Macher" 240 "//cf.geekdo-images.com/images/pic159509_t.jpg" 1986 "Marcus Gschwendtner" "Economic,Negotiation,Political" NA "Karl-Heinz Schmiel" NA "Country: Germany,Valley Games Classic Line" "Area Control / Area Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection" "Hans im Glück Verlags-GmbH,Moskito Spiele,Valley Games, Inc." 7.66508 4498
"2" 2 "Dragonmaster is a trick-taking card game based on an older game called Coup d'etat. Each player is given a supply of plastic gems, which represent points. Each player will get to be the dealer for five different hands, with slightly different goals for each hand. After all cards have been dealt out, the dealer decides which hand best suits his or her current cards, and the other players are penalized points (in the form of crystals) for taking certain tricks or cards. For instance, if &quot;first&quot; or &quot;last&quot; is called, then a player is penalized for taking the first or last tricks. All players will get a chance to be dealer for five hands, but other players can steal this opportunity by taking all of the tricks during certain hands. At the end, the biggest pile of gems wins the game.&#10;&#10;Jewel contents:&#10;&#10;11 clear (3 extra)&#10;13 green (1 extra)&#10;22 red (2 extra)&#10;22 blue (2 extra)&#10;&#10;" "//cf.geekdo-images.com/images/pic184174.jpg" 4 30 12 3 30 "Dragonmaster" 30 "//cf.geekdo-images.com/images/pic184174_t.jpg" 1981 "Bob Pepper" "Card Game,Fantasy" NA "G. W. \"Jerry\" D'Arcey" NA "Animals: Dragons" "Trick-taking" "E.S. Lowe,Milton Bradley" 6.60815 478
"3" 3 "Part of the Knizia tile-laying trilogy, Samurai is set in medieval Japan. Players compete to gain the favor of three factions: samurai, peasants, and priests, which are represented by helmet, rice paddy, and Buddha tokens scattered about the board, which features the islands of Japan. The competition is waged through the use of hexagonal tiles, each of which help curry favor of one of the three factions &mdash; or all three at once! Players can make lightning-quick strikes with horseback ronin and ships or approach their conquests more methodically. As each token (helmets, rice paddies, and Buddhas) is surrounded, it is awarded to the player who has gained the most favor with the corresponding group.&#10;&#10;Gameplay continues until all the symbols of one type have been removed from the board or four tokens have been removed from play due to a tie for influence.&#10;&#10;At the end of the game, players compare captured symbols of each type, competing for majorities in each of the three types. Ties are not uncommon and are broken based on the number of other, &quot;non-majority&quot; symbols each player has collected.&#10;&#10;" "//cf.geekdo-images.com/images/pic3211873.jpg" 4 60 10 2 30 "Samurai" 60 "//cf.geekdo-images.com/images/pic3211873_t.jpg" 1998 "Franz Vohwinkel" "Abstract Strategy,Medieval" NA "Reiner Knizia" NA "Asian Theme,Country: Japan,Knizia tile-laying trilogy,Samurai" "Area Control / Area Influence,Hand Management,Set Collection,Tile Placement" "999 Games,ABACUSSPIELE,Astrel Games,Ceilikan Jogos,Descartes Editeur,Edge Entertainment,Fantasy Flight Games,Galakta,Hans im Glück Verlags-GmbH,Hobby Japan,Lacerta,Lautapelit.fi,Rio Grande Games,Skandinavisk  Spil Kompagni,Wargames Club Publishing" 7.44119 12019
"4" 4 "When you see the triangular box and the luxurious, large blocks, you can tell this game was designed to be beautiful as well as functional.  The object of the game is to build pyramids out of the different colored blocks.  A pyramid scores more points when it's made from a few colors, but it's much harder to consistently outbid the other players for the necessary blocks.  The game is over when the Pharoah's Pyramid in the center is completed, which is built using all the blocks that the players don't use during the course of the game.&#10;&#10;Final round 1990 Hippodice Spieleautorenwettbewerb.&#10;&#10;" "//cf.geekdo-images.com/images/pic285299.jpg" 4 60 12 2 60 "Tal der Könige" 60 "//cf.geekdo-images.com/images/pic285299_t.jpg" 1992 NA "Ancient" NA "Christian Beierer" NA "Country: Egypt,Promotional Board Games" "Action Point Allowance System,Area Control / Area Influence,Auction/Bidding,Set Collection" "KOSMOS" 6.60675 314
"5" 5 "In Acquire, each player strategically invests in businesses, trying to retain a majority of stock.  As the businesses grow with tile placements, they also start merging, giving the majority stockholders of the acquired business sizable bonuses, which can then be used to reinvest into other chains.  All of the investors in the acquired company can then cash in their stocks for current value or trade them 2-for-1 for shares of the newer, larger business.  The game is a race to acquire the greatest wealth.&#10;&#10;This Sid Sackson classic has taken many different forms over the years depending on the publisher.  Some versions of the 3M bookshelf edition included rules for a 2-player variant. The original version is part of the 3M Bookshelf Series.&#10;&#10;Note: many books and websites list this as a 1962 publication. This is incorrect; information from Sid Sackson's diaries, correspondence, and royalty statements prove that it was published in 1964.  However, for some reason admins continue to accept &quot;corrections&quot; of the publication date to 1962.  A detailed timeline of the development and publication of the game can be found at https://opinionatedgamers.com/2014/05/29/how-acquire-became-acquire/, for those interested.&#10;&#10;" "//cf.geekdo-images.com/images/pic342163.jpg" 6 90 12 3 90 "Acquire" 90 "//cf.geekdo-images.com/images/pic342163_t.jpg" 1964 "Scott Okumura,Peter Whitley" "Economic" NA "Sid Sackson" NA "3M Bookshelf Series" "Hand Management,Stock Holding,Tile Placement" "3M,Avalon Hill,Avalon Hill (Hasbro),Dujardin,Grow Jogos e Brinquedos,PS-Games,Schmidt France,Schmidt International,Schmidt Spiele,Selecta Spel en Hobby,Smart Games, Inc." 7.3583 15195
"6" 6 "In the ancient lands along the Mediterranean, players attempt to satisfy their unique victory conditions via trade, war and construction.  This lavishly produced game contains tons of wooden game components and a beautiful roll-out vinyl map.  Players produce a score of different commodities to trade with other cities in the hope of creating enough income to fill their capitals with buildings, produce artwork, and fill warehouses with goods.&#10;&#10;" "//cf.geekdo-images.com/images/pic28424.jpg" 6 240 12 2 240 "Mare Mediterraneum" 240 "//cf.geekdo-images.com/images/pic28424_t.jpg" 1989 "Jean du Poël" "Civilization,Nautical" NA "Jean du Poël" NA "Cities: Marseille" "Dice Rolling" "Historien Spiele Galerie (Historien Spielegalerie)" 6.52534 73
"7" 7 "In Cathedral, each player has a set of pieces of a different color. The pieces are in the shapes of buildings, covering from one to five square units. The first player takes the single neutral Cathedral piece and places it onto the board. Players then alternate placing one of their buildings onto the board until neither player can place another building. Players capture territory by surrounding areas that are occupied by at most one opponent or neutral building. A captured piece is removed and captured territory becomes off-limits to the opponent. The player with the fewest 'square units' of buildings that can't be placed wins.&#10;&#10;" "//cf.geekdo-images.com/images/pic181642.jpg" 2 20 8 2 20 "Cathedral" 20 "//cf.geekdo-images.com/images/pic181642_t.jpg" 1978 "S. Mattusek" "Abstract Strategy" NA "Robert P. Moore" NA "Combinatorial,Polyominoes" "Area Enclosure,Pattern Building,Pattern Recognition,Tile Placement" "Brightway Products Ltd,Falomir Juegos,Family Games, Inc.,Gazebo Games UK Ltd.,Gigamic,Holzinsel,Lagoon Games,Mattel,Robert P. Moore Games,Yangxin Industrial Company Limited" 6.50534 2751
"8" 8 "In this interesting offering from Warfrog, players become Gods seeking to dominate a world with their followers.  The first part of the game involves constructing the game board, after which players take turns using cards to determine how many new people should appear and what type of terrain they will inhabit.  All tribes start off as barbarians, but soon the calming effect of civilization settles the marauding bands; although civilized tribes score more, they can no longer attack.  What they can do, though, is civilize other players' followers.  Sure it gives opponents more points, but at least those followers won't come after you!&#10;&#10;" "//cf.geekdo-images.com/images/pic374320.jpg" 5 120 12 2 120 "Lords of Creation" 120 "//cf.geekdo-images.com/images/pic374320_t.jpg" 1993 "Bryan King" "Civilization,Fantasy" NA "Martin Wallace" NA NA "Modular Board" "Vendetta,Warfrog Games" 6.14538 186
"9" 9 "Although referred to as a sequel to El Grande, El Caballero shares few aspects with its namesake, being a fun but intense brain-burner in which players explore and attempt to control the lands and waterways of the New World.&#10;&#10;The players are following Columbus by exploring the islands he discovered. Players slowly explore the islands &ndash; by picking and placing land tiles that are most favorable to them &ndash; and discover wealth in the form of gold and fish. As they learn about the land and sea areas of this new land, they position their caballeros to try to maintain control of the important regions. Castillos give them a measure of protection from others, and ships allow them to establish trade and to fish for food. Success is measured in the size of land and sea areas they control. Their success is measured twice, and in the end these scores are summed and the winner declared.&#10;&#10;" "//cf.geekdo-images.com/images/pic1731731.jpg" 4 90 13 2 90 "El Caballero" 90 "//cf.geekdo-images.com/images/pic1731731_t.jpg" 1998 "Doris Matthäus" "Exploration" NA "Wolfgang Kramer,Richard Ulrich" NA "El Grande" "Area Control / Area Influence,Tile Placement" "999 Games,Hans im Glück Verlags-GmbH,Rio Grande Games" 6.51776 1263
"10" 10 "Elfenland is a redesign of the original White Wind game Elfenroads.  The game is set in the mythical world of the elves.  A group of fledgling elves (the players) are charged with visiting as many of the twenty Elfencities as they can over the course of 4 rounds.  To accomplish the task they will use various forms of transportation such as Giant Pigs, Elfcarts, Unicorns, Rafts, Magic Clouds, Trollwagons, and Dragons.&#10;&#10;Gameplay:  Players begin in the Elf capitol, draw one face down movement tile, and are dealt eight transport cards and a secret 'home' city card that they must reach at the end of the 4th round or lose points for each city space away from 'home' they are at the end of the game. Markers of each player's color are placed in each city on the board and are collected when the player visits that city (each counts as 1 point).&#10;  &#10;     The round proceeds in 2 stages.  The first part of the round consists of the drawing of Tiles showing the differing types of transport (except rafts) from a combination of face up and face down tiles (if a player doesn't like the 5 tiles that are face up; they can always draw blind from the face down tiles and hope to get one they need).  These transport tiles need to match the Transportation cards in your hand to use them most effectively.  After each player has a total of 4 tiles they take turns placing a tile on any one of the roads that run between the elf cities.  Only one transport tile may be placed on each road; so players may use other players tiles to travel if they have the matching cards in their hand.  This frequently causes a readjustment of planned travel routes as other players tiles can allow you to move farther or shorter than you had first thought.  Players can play their tiles to help themselves or hinder others by playing a slow mode of transport on another players (perceived) path.&#10;&#10;Each mode of transport has certain terrain it can travel through quickly or slowly, and those that it cannot. These are listed on the top of each transportation card by the number terrain symbols.  The number of terrain symbols equals how many matching cards you must play to move across a given tile in a given terrain.  For example, a Magic Cloud tile placed in a mountain would take one Magic cloud card to travel across (1 mountain symbol on card means Magic clouds are fast in mountains). If the same tile was placed on a road in forest terrain it would require 2 Magic Cloud cards to travel that route (2 Forest symbols on card means Magic Clouds are slow in Forest).  Magic Clouds cannot travel in desert terrain at all (no desert symbols on card). All modes of transport are different and Rafts can be used on rivers or lakes without needing tiles. Rafts go slow upstream (2 raft cards needed) and fast downstream (1 card needed).  The small lake requires 1 raft card to travel across and the larger lake requires 2 cards to travel across.  Players may keep one unused transport counter and up to 4 Transportation cards from one round to the next.&#10;&#10;The second part of the round begins after all players have finished placing their transportation tiles for the round.  Each player plays his cards and moves his elf-boot around the board collecting his tokens from the cities visited.  If there is a Transport tile on a route and a player has no matching Transportation card he may 'Caravan' across it by playing any 3 Transportation cards from his hand.&#10;&#10;As a bit of 'take that' each player has a trouble tile which can be placed next to any transportation tile during the first part of the round.  This counter means that in order to travel that path an additional card of the transport type must be played or 4 cards to 'Caravan'.&#10;&#10;Victory: if at the end of round 3 a player has visited all 20 cities he is the winner.  If not the game ends after round 4 when 'Home' cities are revealed and each player subtracts points for each city he is away from his 'home' subtracting that from his collected city tokens.  The person with the highest score wins.&#10;&#10;" "//cf.geekdo-images.com/images/pic1798136.jpg" 6 60 10 2 60 "Elfenland" 60 "//cf.geekdo-images.com/images/pic1798136_t.jpg" 1998 "Doris Matthäus" "Fantasy,Travel" NA "Alan R. Moon" "Elfengold,Elfenland: Back to the Roads,Elfenland: Der Elfen-Zauberer,Stadt Land Spielt Limitierte Sonderdrucke 2013" "Elfen Travel,Fairies, Elves and Pixies" "Card Drafting,Hand Management,Point to Point Movement,Route/Network Building" "999 Games,AMIGO Spiel + Freizeit GmbH,Corfix,Hobby World,Midgaard Games,Rio Grande Games" 6.74996 6729
